epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,315.093,0.49679,0.26317,0.77801,0.99981,1,0.995,0.9035,0.45626,0.25123,0.76195,0.000713,0.000713,0.000713
67,320.134,0.48805,0.26547,0.7766,0.99982,1,0.995,0.89784,0.48491,0.26325,0.76429,0.0006932,0.0006932,0.0006932
68,325.196,0.48197,0.25978,0.779,0.99987,1,0.995,0.8963,0.49599,0.26666,0.76417,0.0006734,0.0006734,0.0006734
69,330.409,0.46467,0.25578,0.77621,0.99988,1,0.995,0.90195,0.47416,0.25562,0.76217,0.0006536,0.0006536,0.0006536
70,335.451,0.46387,0.25417,0.77736,0.9998,1,0.995,0.9258,0.41587,0.23911,0.76033,0.0006338,0.0006338,0.0006338
71,340.403,0.47145,0.26059,0.78014,0.99974,1,0.995,0.91881,0.42023,0.24272,0.76042,0.000614,0.000614,0.000614
72,345.618,0.47261,0.25643,0.77835,0.99981,1,0.995,0.89296,0.50297,0.25151,0.76412,0.0005942,0.0005942,0.0005942
73,350.801,0.46952,0.25876,0.7747,0.99986,1,0.995,0.9122,0.43471,0.23644,0.76026,0.0005744,0.0005744,0.0005744
74,355.967,0.46982,0.25858,0.77806,0.99987,1,0.995,0.89815,0.48416,0.25117,0.76249,0.0005546,0.0005546,0.0005546
75,361.012,0.46596,0.2546,0.77649,0.99987,1,0.995,0.8967,0.50629,0.25994,0.76453,0.0005348,0.0005348,0.0005348
76,366.214,0.45542,0.25236,0.77663,0.99987,1,0.995,0.91841,0.42623,0.23593,0.76009,0.000515,0.000515,0.000515
77,371.357,0.45155,0.25444,0.7731,0.99989,1,0.995,0.90607,0.44558,0.23794,0.76194,0.0004952,0.0004952,0.0004952
78,376.637,0.44085,0.24692,0.77276,0.99986,1,0.995,0.90419,0.44221,0.24212,0.76066,0.0004754,0.0004754,0.0004754
79,381.754,0.45262,0.24993,0.77474,0.99987,1,0.995,0.91712,0.42755,0.23489,0.75955,0.0004556,0.0004556,0.0004556
80,387.063,0.42617,0.23991,0.77587,0.99977,1,0.995,0.93055,0.3891,0.2327,0.75778,0.0004358,0.0004358,0.0004358
81,392.123,0.42863,0.24074,0.77289,0.99983,1,0.995,0.92471,0.41025,0.23196,0.75944,0.000416,0.000416,0.000416
82,397.268,0.42955,0.241,0.7754,0.99988,1,0.995,0.91459,0.42301,0.23233,0.7599,0.0003962,0.0003962,0.0003962
83,402.422,0.43281,0.24119,0.77578,0.99988,1,0.995,0.92684,0.40525,0.23291,0.75994,0.0003764,0.0003764,0.0003764
84,407.709,0.42068,0.23799,0.76913,0.99988,1,0.995,0.91944,0.40739,0.22874,0.75941,0.0003566,0.0003566,0.0003566
85,412.989,0.42988,0.24077,0.76858,0.99988,1,0.995,0.92415,0.40023,0.22643,0.75883,0.0003368,0.0003368,0.0003368
86,418.259,0.42599,0.23934,0.77353,0.99989,1,0.995,0.9232,0.39373,0.22696,0.75859,0.000317,0.000317,0.000317
87,423.492,0.43254,0.24166,0.77289,0.99989,1,0.995,0.92473,0.40108,0.2256,0.76007,0.0002972,0.0002972,0.0002972
88,428.508,0.4255,0.23926,0.77138,0.99989,1,0.995,0.92053,0.41764,0.22528,0.76033,0.0002774,0.0002774,0.0002774
89,433.778,0.41147,0.23159,0.77246,0.99989,1,0.995,0.9229,0.40158,0.22456,0.76022,0.0002576,0.0002576,0.0002576
90,439.002,0.40784,0.22937,0.77438,0.99989,1,0.995,0.92381,0.40007,0.2194,0.75953,0.0002378,0.0002378,0.0002378
91,454.002,0.37329,0.21576,0.76769,0.99989,1,0.995,0.92019,0.40814,0.22183,0.75979,0.000218,0.000218,0.000218
92,458.882,0.35937,0.2089,0.76852,0.99988,1,0.995,0.92224,0.4028,0.21881,0.75914,0.0001982,0.0001982,0.0001982
93,463.818,0.35267,0.20792,0.76687,0.99987,1,0.995,0.92443,0.40234,0.2236,0.75961,0.0001784,0.0001784,0.0001784
94,468.697,0.3528,0.2051,0.76842,0.99987,1,0.995,0.9196,0.41962,0.2228,0.76089,0.0001586,0.0001586,0.0001586
95,473.848,0.36563,0.21045,0.76924,0.99989,1,0.995,0.92709,0.39554,0.21434,0.75902,0.0001388,0.0001388,0.0001388
96,478.93,0.34878,0.20528,0.76591,0.9999,1,0.995,0.92246,0.40678,0.21439,0.75877,0.000119,0.000119,0.000119
97,483.909,0.33997,0.20116,0.76403,0.9999,1,0.995,0.92599,0.39193,0.21229,0.75857,9.92e-05,9.92e-05,9.92e-05
98,489.179,0.34756,0.20325,0.76685,0.9999,1,0.995,0.92537,0.40715,0.21481,0.75923,7.94e-05,7.94e-05,7.94e-05
99,494.132,0.3417,0.20322,0.76319,0.9999,1,0.995,0.93109,0.38854,0.20905,0.75842,5.96e-05,5.96e-05,5.96e-05
100,499.201,0.34298,0.20127,0.76528,0.9999,1,0.995,0.92879,0.40296,0.21381,0.75864,3.98e-05,3.98e-05,3.98e-05
